"Losers","1 HOUR","[('Cryptonex', 'CNX', Decimal('7.93'), Decimal('-3.21'), 77, 73, -4), ('ReddCoin', 'RDD', Decimal('0.01'), Decimal('-2.68'), 89, 86, -3), ('Dentacoin', 'DCN', Decimal('0.00'), Decimal('-2.94'), 54, 51, -3), ('Maker', 'MKR', Decimal('1328.71'), Decimal('-8.26'), 39, 36, -3), ('Nxt', 'NXT', Decimal('0.32'), Decimal('-0.58'), 83, 81, -2)]"
"Gainers","1 HOUR","[('aelf', 'ELF', Decimal('2.23'), Decimal('5.08'), 51, 56, 5), ('Experience Points', 'XP', Decimal('0.00'), Decimal('4.25'), 82, 85, 3), ('SmartCash', 'SMART', Decimal('0.66'), Decimal('1.90'), 67, 69, 2), ('Request Network', 'REQ', Decimal('0.46'), Decimal('-0.38'), 86, 88, 2), ('Nebulas', 'NAS', Decimal('10.31'), Decimal('-0.52'), 74, 76, 2)]"
"Losers","1 DAY","[('SIRIN LABS Token', 'SRN', Decimal('2.75'), Decimal('-0.63'), 92, 79, -13), ('Cryptonex', 'CNX', Decimal('7.93'), Decimal('-3.21'), 77, 65, -12), ('Dentacoin', 'DCN', Decimal('0.00'), Decimal('-2.94'), 54, 46, -8), ('Golem', 'GNT', Decimal('0.55'), Decimal('-2.57'), 61, 54, -7), ('ReddCoin', 'RDD', Decimal('0.01'), Decimal('-2.68'), 89, 82, -7)]"
"Gainers","1 DAY","[('RChain', 'RHOC', Decimal('1.80'), Decimal('-0.56'), 48, 61, 13), ('ZClassic', 'ZCL', Decimal('137.41'), Decimal('-3.67'), 64, 77, 13), ('Experience Points', 'XP', Decimal('0.00'), Decimal('4.25'), 82, 91, 9), ('Hshare', 'HSR', Decimal('17.64'), Decimal('1.04'), 42, 49, 7), ('Aeternity', 'AE', Decimal('2.12'), Decimal('-0.07'), 59, 66, 7)]"
"Losers","1 WEEK","[]"
"Gainers","1 WEEK","[]"
"Losers","1 MONTH","[]"
"Gainers","1 MONTH","[]"
